CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1872,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,20.7,-99.99,-99.99,7.8,0.7,-9.8,-99.99,-99.99,-99.99,-99.99,-99.99
1873,-10,-8.3,-3.8,3.9,11.2,17.9,20.1,19.3,14.6,8.9,-3.4,-3.3,-9.37,3.77,19.1,6.7,5.59
1874,-7.1,-8.7,-3.6,0.2,10.7,15.6,18.9,18.6,17.2,8.9,1.7,-4.7,-6.37,2.43,17.7,9.27,5.64
1875,-11.5,-13.2,-4.4,3,10.7,16.3,18.9,19.7,13.4,7,-1,-5.1,-9.8,3.1,18.3,6.47,4.48
1876,-4.3,-7.3,-3.9,3.7,9.9,18.7,20.3,21.1,14.1,6.8,3.4,-10.7,-5.57,3.23,20.03,8.1,5.98
1877,-10.2,-2.4,-3.5,6,10.8,17.2,20.3,21.6,16.5,8.7,2.6,-0.7,-7.77,4.43,19.7,9.27,7.24
1878,-7.3,-4,1.5,9.6,11.5,16.4,22.3,20.4,16.6,10.3,2.2,-4,-4,7.53,19.7,9.7,7.96
1879,-9.2,-11,-3.2,3.7,11.3,15.7,19.9,18.5,13.7,12.3,1.1,-6.1,-8.07,3.93,18.03,9.03,5.56
1880,-1.6,-4.9,-3.1,4.5,13.9,18.1,20.3,19.9,16.7,7.5,-1.1,-8,-4.2,5.1,19.43,7.7,6.85
1881,-12.1,-8.5,-1,3.7,13.4,15,20.4,21,20.3,8.3,2,0,-9.53,5.37,18.8,10.2,6.88
1882,-7.1,-4.2,-1.4,3.6,9.6,16,19.7,20.8,15.5,10.4,2.1,-5.8,-3.77,3.93,18.83,9.33,6.6
1883,-11.1,-8.4,-7.1,2.4,9.3,16.6,18.3,18.2,13.3,6.8,2.4,-6.3,-8.43,1.53,17.7,7.5,4.53
1884,-12.7,-7.3,-3.8,4.6,10.3,17.9,17.6,19.4,16.8,8.5,0.6,-6.1,-8.77,3.7,18.3,8.63,5.48
1885,-9.3,-14.7,-10.1,2.2,10.9,15,19.5,17.1,13.3,7.3,2.2,-5.1,-10.03,1,17.2,7.6,4.03
1886,-10.3,-10.1,-3.4,6.1,11.4,16.5,19.3,19.1,14.8,8.7,1,-8.3,-8.5,4.7,18.3,8.17,5.4
1887,-11.4,-8.4,-5.6,2.7,14.8,18,23.1,18.6,13.5,6.9,0.7,-5.7,-9.37,3.97,19.9,7.03,5.6
1888,-13.6,-9.6,-6.4,2.5,10.8,17.7,22.3,19.4,13.7,4.9,2,-3.3,-9.63,2.3,19.8,6.87,5.03
1889,-4,-11.1,-1.1,6,12,15.8,20.8,18.3,16.2,4.9,2.5,-1.1,-6.13,5.63,18.3,7.87,6.6
1890,-5.8,-5.7,-3.3,4.6,9.8,18.8,20.4,18.6,14.7,8.4,1.5,-9.9,-4.2,3.7,19.27,8.2,6.01
1891,-7.5,-5.1,-3.4,5.2,9.9,16.5,17.5,18.5,16.2,8.5,2.5,0.6,-7.5,3.9,17.5,9.07,6.62
1892,-8.5,-7.8,-5.3,4.1,10,16.6,19.2,19.3,15,8.1,0.8,-6.5,-5.23,2.93,18.37,7.97,5.42
1893,-13.1,-10,-3.4,2.9,10.2,18.2,19.1,19.1,12.5,9.6,2,-8,-9.87,3.23,18.8,8.03,4.92
